ph,fat,density,lactometer,conductivity,temp,snf,target
8.702230023486418,5.195981825434215,1.0379565080445723,26.93611184265462,4.3119890406724055,25.697003346018395,8.933088072887468,3
6.7909729556485985,5.497327922401265,1.0393194501864211,37.282970263056654,8.45614570099021,28.650906915514454,8.762378215816119,4
6.513999698964085,1.8868494971711618,1.024019582847154,21.1534947637868,5.236772018666175,29.589543895205953,7.3130456311984515,1
6.784665661176,1.2318726462050797,1.0214662383707789,24.365242814551475,4.195344228012768,33.21079631814588,5.1169209717917425,1
8.39950826673953,5.266084230952957,1.0357660516520126,27.247649977209132,5.135400655639983,25.375759509466704,8.921142387297499,3
8.042698063547792,5.765622705069351,1.0388011625640636,27.175897174514873,4.090454577821076,28.90396396915917,8.694338644844741,3
6.789576592179241,1.7502748845335825,1.0200544172230261,19.391896828621636,4.330533878126005,25.187636880894328,5.047871397231287,1
8.286230349471234,4.817879924343034,1.03155780527108,29.906462153011667,10.595727765387865,35.20046293347759,8.724725337069101,2
6.718881853501419,4.912672414065639,1.0406127719756948,36.45656917455074,10.854835899772805,33.55893744667594,8.880392524308448,4
6.713198866905736,3.332672462435494,1.0286360190111947,27.210315214012375,5.791527191347039,30.70444267818534,8.781637785988192,0
7.822442574508009,3.7478766874466247,1.039507883566398,30.533306831258294,4.457596330983245,25.923758917945516,8.644875726456885,3
6.588690105751314,3.316482779490812,1.0362208795470067,39.34779909082028,8.781489190384875,35.59936310702642,8.662172510502637,4
6.568380548762582,4.281323365878769,1.030908088595535,31.16438349953806,4.013904261062382,31.128967630930788,8.70870550157439,0
6.707730809867081,3.8082370013955646,1.0356489224710896,34.72813243987021,8.269577069671723,31.697224024208094,8.701918085529021,4
6.713681176977333,1.6556353712506977,1.0224404594129095,21.716542083219956,5.953229911665305,29.932444159818775,7.314398535286207,1
6.79569513623318,2.201381078127801,1.0224347079753262,18.632028390380857,4.4752750879848,33.73859618334232,6.821633925854179,1
6.545215263189629,4.524596330222156,1.0301748768407453,31.15015282888232,4.65191781040377,27.64289257078658,8.855574766219009,0
